body,title
"Por Enrique Perezyera, director general de Microsoft México","La importancia del trabajo remoto, hoy y en el futuro"
"Debido a que una gran cantidad de personas en todo el mundo se encuentran en cuarentena como medida para evitar la propagación del coronavirus, es que los juegos y desafíos en Internet y las redes sociales han tomado un segundo aire como medio de entretenimiento.",¿Qué número ves? Conoce el nuevo reto viral 
"
En el estado de Puebla se han registrado 124 decesos y 962 casos confirmados de coronavirus al 7 de mayo.",Coronavirus Puebla: Casos confirmados de Covid-19 al 7 de mayo
"A partir del 1 de junio de este año, las plataformas digitales como Netflix, Spotify y otras plataformas digitales subirán sus precios pues entra en vigor un esquema de retenciones de IVA e ISR decidido por el SAT.",Además de Netflix ¿por qué otros como Spotify subirán de precio?
"La jefa de Gobierno de la Ciudad de México, Claudia Sheinbaum, aseguró que hay certeza de que no se esconderán datos sobre los muertos en la capital por Covid-19, y aseguró que un comité técnico es el que ha determinado si se trata de fallecimientos por enfermedades respiratorias o por sospecha de este virus.",No se esconden datos de muertes por Covid-19 en CDMX: Sheinbaum 
"Bienvenidos una vez más a su sección favorita “La peor vestida de la semana” en esta ocasión tenemos a una de las conductoras más entrañables y guapas de la televisión. Se trata de Linet Puente, periodista de espectáculos que es parte del equipo de Hechos AM y que comparte lugar con Paty Chapoy y Pedrito Sola en el programa de Ventaneando.",Y la peor vestida de la semana es… Linet Puente de Ventaneando
"El subsecretario de Prevención y Promoción de la Salud, Hugo López-Gatell, publicó un video en redes sociales en el que dijo que ""llama la atención la sincronía"" de cuatro medios extranjeros que publicaron hoy cuestionamientos sobre las muertes de personas con Covid-19 en nuestro país. ","""Llama la atención la sincronía"": López-Gatell sobre notas que cuestionan conteo de muertos"
"En abril estaba programado para zarpar por primera vez Endurance, un barco operado por National Geographic Expeditions en colaboración con la empresa de cruceros Lindblad. Esta embarcación está hecha para hacer viajes de expedición hacia regiones polares, remotas y de difícil acceso. Sin embargo, sus primeras aventuras fueron suspendidas debido a la pandemia de Covid-19. ",National Geographic estrenará barco de crucero para viajar a regiones polares
"El líder nacional del PAN, Marko Cortés, cuestionó que el gobierno Federal haya prometido no aumentar impuestos, sin embargo, las distintas plataformas sí aumentaron el IVA en sus costos para el público.",Cuestiona PAN a AMLO y Morena por aumento de impuestos a plataformas
"
Entre aplausos y porras, médicos y enfermeras del Hospital Juárez de México dijeron adiós a Janet Orozco, Candelaria Valle y José Luis Chantes.",¡Victoria! Así se siente ganarle al Covid-19
"El titular de la Secretaría de Hacienda y Crédito Público (SHCP), Arturo Herrera, aclaró que los impuestos a la economía digital, que entrarán en vigor el próximo 1 de junio, no son nuevos ni representan un aumento.","Impuestos a Netflix y plataformas digitales no son nuevos, aclara Hacienda"
"Durante siglos, en México se tuvo la certeza de que las epidemias que diezmaron a los habitantes originarios, como el pueblo azteca, llegaron con los españoles que desembarcaron en el territorio a partir de 1519.",El sufrimiento que revelan tres esqueletos de esclavos africanos descubiertos en México
,Marcela Gómez Zalce
,Empresa en Estados Unidos perdona rentas a restaurantes afectados por la pandemia
,Óscar Mario Beteta
"La información confiable es una de las armas más poderosas para enfrentar el Covid-19, especialmente considerando que las noticias falsas proliferan en situaciones de crisis como esta. Precisamente para acercar a la población datos verificados, la UNAM desarrolló una plataforma digital que muestra la propagación del coronavirus. ",Plataforma de la UNAM muestra la propagación del coronavirus y tu riesgo de enfermar 
"
María Isabel Cruz Bernal ha escuchado una y otra vez cómo las autoridades federales piden a los mexicanos quedarse en casa para prevenir más contagios por coronavirus (Covid-19); sin embargo, ella considera que buscar a su hijo desaparecido es una actividad esencial y por eso rompió la cuarentena.",Rompen la cuarentena para buscar a sus familiares desaparecidos
"México suma en el corte de este 8 de mayo 3 mil 160 muertes por Covid-19, con 31 mil 522 casos de contagios confirmados de coronavirus, según informan autoridades de la Secretaría de Salud. ","México supera los 3 mil muertos por Covid; suman 31,522 contagios"
"El mar profundo cubre dos tercios de la superficie terrestre, y puede alcanzar niveles de más de 3.5 kilómetros por debajo de la superficie del agua. En ese hábitat, el más grande que existe de manera continua en el planeta, ¿te imaginas cuántas especies ni siquiera han sido descubiertas o vistas?",7 animales marinos que parecen salidos de una pesadilla
"Hoy más que nunca el tener un dispositivo de cómputo lo suficientemente potente para realizar casi cualquier tarea, por demandante que resulte, es una necesidad primaria. También es imprescindible disponer de dispositivos portátiles, que lo mismo se puedan utilizar en el escritorio de la oficina que sobre las piernas, mientras se está en el sofá de la casa.
 
Un dispositivo que satisface estas necesidades es la Huawei MateBook 13, la cual, como se indica en su nombre, tiene una pantalla de 13 pulgadas que destaca por su resolución 2K.",Probamos la Huawei MateBook 13
"Zacatecas. - Un perrito callejero que se metió a la vivienda de una familia en busca de alimento fue cruelmente torturado por una persona que, frente a niños y mujeres de esa hogar, le incrustó una barra de metal en el hocico y durante horas lo hizo sufrir hasta matarlo. ",Sujeto tortura y mata a un perro en Zacatecas frente a niños
"La familia de los felinos, incluyendo los gatos y tigres, son susceptibles al nuevo coronavirus y los primeros pueden transmitirlo a otros de su misma especie, confirmó hoy viernes un especialista en zoonosis y enfermedades alimentarias de la Organización Mundial de la Salud (OMS), Peter Ben Embarek.","Los gatos son una especie más susceptible al coronavirus, afirma la OMS"
"
Extitulares de la Secretaría de Salud federal afirmaron que los datos que da la actual administración ante la emergencia sanitaria por el Covid-19 “no son creíbles”, lo que ha generado un problema de certeza en las cifras que informan.","Cifras sobre la pandemia se someten a voluntad del poder: Narro, Frenk y Chertorivski "
"Barcelona.- El Ejército de España prevé dos rebrotes más del coronavirus en el país, de acuerdo con un informe interno al que tuvo acceso The Associated Press. 
En su texto, el Ejército pronosticó que “habrá dos oleadas más de epidemia” y que España ""tardará un año o año y medio en recuperar la normalidad”. ",Prevén dos rebrotes más del coronavirus en España
"Ginebra.- La Organización Mundial de la Salud (OMS) conmemoró hoy el 40 aniversario de la erradicación de la viruela, una de las enfermedades más mortales de la historia, y destacó que sólo mostrando la unidad internacional que se logró entonces podrá vencerse de la misma manera a la pandemia de COVID-19.",El mundo puede derrotar a la Covid-19 como venció a la viruela hace 40 años: OMS
Read in English,Prevén que desde hoy y hasta el 20 de mayo se dé fase de mayor contagio en CDMX
,Covid-19 paraliza la producción automotriz en México; cae 98%
La FIFA aprobó las recomendaciones de la International Board (IFAB) en donde se estable que se podrán hacer hasta 5 cambios de jugadores en un solo partido y además autoriza a dejar de utiliza el Video Assistant Referee (VAR) en las ligas y torneos donde ya se aplicaba.,FIFA autoriza cinco cambios y desaparece el VAR
,Prevén dos rebrotes más del coronavirus en España
"Ante el incremento en los retiros parciales por desempleo que realizan los trabajadores en México con cuenta de Afore, ha aumentado la preocupación de que las administradoras enfrenten problemas de liquidez, dijo el presidente de la Comisión Nacional del Sistema de Ahorro para el Retiro (Consar), Abraham Vela.","Ante retiros parciales por desempleo, preocupa problemas de liquidez en las Afore: Consar"
"Tal vez muchos no sepan su nombre, pero en redes sociales el rostro del investigador Giorgio Tsoukalos es bien conocido. ",El investigador Giorgio Tsoukalos está feliz de ser un meme
"Esteban Moctezuma Barragán, titular de Educación Pública (SEP), garantizó que para evitar contagios de Covid-19 se reabrirán los plateles educativos cuando existan las condiciones sanitarias adecuadas, antes no. ","Cuando haya condiciones sanitarias se abrirán las escuelas, antes no: SEP"
,Peniley Ramírez
"Monterrey, NL, 8 de mayo- Fuertes lluvias acompañadas de granizo, descargas eléctricas, rachas de viento de hasta 115 kilómetros por hora y un mini tornado que causó destrozos en Apodaca, se presentaron este viernes por la tarde en municipios del norte del estado y  la zona metropolitana.",Granizo y hasta un tornado dejan destrozos en Nuevo León
,Martí Batres
"Este viernes, elementos de la Fiscalía General de Justicia realizaron un cateo en una de las casas, en Tijuana, del ex gobernador panista Francisco ""Kiko"" Vega de Lamadrid.","Catean residencia de ""Kiko"" Vega, ex gobernador de Baja California"
"La senadora del PRI, Vanessa Rubio, propuso que personas desahuciadas puedan tener acceso a los recursos para su retiro, para utilizarlos en el presente ante las condiciones de su enfermedad.",Senadora de PRI plantea que desahuciados puedan acceder a recursos de su Afore
,"Con brasier de Ninel, Albertano hace cubrebocas"
"Elementos de la Fiscalía General de Veracruz llevaron a cabo un cateo en la zona hotelera de Cancún, Quintana Roo para tratar de ubicar a uno de los artífices de la creación de empresas fantasmas durante el gobierno del priista Javier Duarte de Ochoa. ",Escapa presunto creador de empresas fantasmas durante sexenio de Duarte
"En redes sociales se ha hecho viral una fotografía que habría subido el mediocampista del LA Galaxy, Jonathan dos Santos, junto a una mujer.",Polémica foto de Jonathan Dos Santos teniendo sexo
