article_links,body,title
https://www.eluniversal.com.mx/techbit,,Facebook y Google extienden el trabajo desde casa hasta fin de año
https://www.eluniversal.com.mx/autor-opinion/articulistas/mauricio-meschoulam,,Mauricio Meschoulam
https://www.eluniversal.com.mx/estados/por-amenazas-de-pobladores-comisario-retira-filtros-sanitarios-en-tizimin-yucatan,"Tizimín, Yucatán.- A través de Facebook, Javier Santos, comisario de este lugar de la zona oriente del Estado, informó que se vio obligado a aceptar el retiro de los filtros sanitarios impuestos en esa comunidad en prevención al Covid-19, porque tuvo miedo por su vida.","Por amenazas de pobladores, comisario retira filtros sanitarios en Tizimín, Yucatán"
https://www.eluniversal.com.mx/mundo/lider-contra-covid-19-de-eu-entra-en-autoaislamiento-por-contacto-con-caso-de-coronavirus,"Dos miembros del grupo de trabajo sobre coronavirus de la Casa Blanca se pusieron en cuarentena después del contacto con alguien que dio positivo por Covid-19, otro claro recordatorio de que ni siquiera uno de los edificios más seguros del país es inmune al virus.",Líder contra Covid-19 de EU entra en autoaislamiento por contacto con caso de coronavirus
https://www.eluniversal.com.mx/mundo/coronavirus-dubrovnik-la-ciudad-medieval-que-fue-planeada-para-una-cuarentena,"
Desde la antigüedad, las sociedades han intentado separar a la gente enferma de la gente sana: referencias al autoaislamiento pueden encontrarse en el Viejo Testamento.","Dubrovnik, la ciudad medieval que fue planeada para una cuarentena"
https://www.eluniversal.com.mx/cartera,,Ingreso por viajeros foráneos cayó 45.6% durante marzo
https://www.eluniversal.com.mx/cartera/soriana-se-deslinda-de-video-de-accionista-minoritario-contra-amlo,"La cadena de tiendas Soriana se deslinda del Frente Nacional Anti-AMLO (FRENAAA) que será encabezado por uno de sus accionistas minoritarios, Pedro Luis Bringas.",Soriana se deslinda de video de accionista minoritario contra AMLO
https://www.eluniversal.com.mx/mundo/farmaceutico-indio-muere-al-probar-bebida-que-hizo-contra-el-covid-19,"Un farmacéutico indio murió, y su jefe fue hospitalizado, tras haber tomado una bebida a base de plantas que prepararon con la esperanza de que pudiera curar la Covid-19, informó este sábado la policía.",Farmacéutico indio muere al probar bebida que hizo contra el Covid-19
https://www.eluniversal.com.mx/espectaculos/hector-martinez-serrano-figura-de-la-radio-mexicana,"Después de casi cinco décadas como locutor de radio, Héctor Martínez Serrano, quien falleció la tarde de este sábado a la edad de 86 años, trabajó hasta sus últimos días en su programa matutino de la frecuencia AM llamado “Buenos días”.","Adiós a la voz de Héctor Martínez Serrano, figura de la radio mexicana"
https://www.eluniversal.com.mx/destinos,,"Sierra de Nanchititla, el bosque del Edomex que tal vez no conocías"
